title,alternate_title,internal_ref_number,key,composition_year,first_performance_year,avg_duration,composer_time_period,piece_style,instrumentation,,,,,,,,,
Al'hama (ORQUESTA DE CUERDA),Parrandas - Bulería,ISM 1,A major,1999,2010,5,Modern,Modern,String Orchestra
Aquae Lumen (Arpa),,ISM 2,B minor,2009,,7,Modern,Modern,Harp
Canción para una fiesta,Mazurka,ISM 3,,,,5,Modern,Modern,Orquesta de Cuerdas
Danza de Hachas,Aguinaldo,ISM 4,F major,2009,2010,9,Modern,Modern,Orquesta de Cuerdas
Danza de los cuatro huesos,Rondó para orquesta de cuerdas,ISM 5,D major,2009,2009,9,Modern,Modern,String Orchestra
De aquí y de allá,,ISM 6,G major,2002,,,Modern,Modern,"2 violins, viola, cello"
"Duerme, niño",Nana Huertana,ISM 7,,1986,,,Modern,Modern,Contralto + mixed chorus
Fantasia 'El Paño Fino',sobre un tema popular murciano,ISM 8,G major,2006,2006,,Modern,Modern,cello solo
Fluxus,,ISM 9,,2009,,,Modern,Modern,Flute
Hop Tango,,ISM 10,A minor,2013,,,Modern,Modern,string orchestra
Impromptu,,ISM 11,,2007,2009,,Modern,Modern,Violín y Piano
Jazzy Suite,,ISM 12,,2010,2010,,Modern,Modern,double bass solo
Las Cuatro Estaciones,Preludio y Fuga,ISM 13,,2008,,,Modern,Modern,Violín y Piano
Las Quejas de Doña Jimena,Sexteto de Cuerda sobre un Romance Sefardí,ISM 14,G,2007,,,Modern,Modern,"String sextet: 3 violins, viola, cello, bass"
El Lavatorio,Marcha de Pasión,ISM 15,,2014,2017,,Modern,Early 20th century,"wind band (piccolo, flute, oboe, B♭ clarinets 1-3, B♭ bass clarinet, E♭ alto sax 1-2, B♭ tenor sax, E♭ baritone sax, flugelhorn 1-2, F horns 1-4, B♭ trumpets 1-3, trombones 1-2, bass trombone, euphonium, tuba, percussion"
Mediterranía (Cuarteto de Percusión),Impresiones MediterráneasFantasia,ISM 16,,,,,Modern,Modern,4 percussionists
Microsuite,,ISM 17,,,2009,25,Modern,Modern,"String Orchestra, also arranged for orchestra"
Nanas de la cebolla,,ISM 18,,2010,,,Modern,Modern,"Tenor, Piano"
Nocturnos,,ISM 19,,1986,,,Modern,Modern,string quartet
Nocturno,,ISM 20,,2004,,,Modern,Modern,Guitarra clásica
Paseo,,ISM 21,,1986,,,Modern,Modern,Flauta sola
Preludio y Canción,,ISM 22,,2010,,10,Modern,Modern,Cello
Preludio y Fuga sobre la Aurora de Santa Cruz,,ISM 23,,2006,,,Modern,Modern,Guitarra clásica
Las Cuatro Estaciones,Preludio y Fuga,ISM 24,,2007,2008,15,Modern,Modern,Violín and piano
Retablo Alfonsí,,ISM 25,,2009,2010,,Modern,Modern,Orquesta de Cuerda
"String Quartet No.1, Op.22","""Saravasti""",ISM 26,,2004,2007,22,Modern,Modern,"2 violins, viola, cello"
Suite clásica,El día de las locuras / Las Bodas de Fígaro B.S.O.,ISM 27,,2004,,,Modern,Modern,"2 violins, viola, cello (with duets for violin and cello)"
Suite Sacra,,ISM 28,,2007,2007,42,Modern,Modern,String Orchestra
Trío Fantasía,Trío de Cuerdas,ISM 29,,2015,,12,Modern,Modern,"violín, viola, violoncello"
Triptico mediterraneo,,ISM 30,,2007,,,Modern,Modern,"Violin, Piano"
"Ya se murió el burro, José Ignacio Prieto J.S.",Canción popular Salmantina,ISM 31,,,,,Modern,Modern,male chorus
