piece_title,scan_type,scan_id,page_count
Al'hama (ORQUESTA DE CUERDA),Complete Score,131319,11
Aquae Lumen (Arpa),Complete Score,86928,13
Canción para una fiesta,Complete Score,131306,9
Canción para una fiesta,Violins I,131307,2
Canción para una fiesta,Violins II,131308,2
Canción para una fiesta,Violas,131309,2
Canción para una fiesta,Cellos,131310,2
Canción para una fiesta,Basses,131312,2
Danza de Hachas,General,131313,19
Danza de Hachas,Violín 1,131314,4
Danza de Hachas,Violín 2,131315,4
Danza de Hachas,Viola,131316,4
Danza de Hachas,Cello,131317,4
Danza de Hachas,Bass,131318,4
Danza de los cuatro huesos,Complete Score,86927,25
Danza de los cuatro huesos,Violins I,86930,5
Danza de los cuatro huesos,Violins II,86931,5
Danza de los cuatro huesos,Violas,86932,5
Danza de los cuatro huesos,Cellos,86933,5
Danza de los cuatro huesos,Basses,86934,5
De aquí y de allá,Complete Score,88487,9
"Duerme, niño",Complete Score,93430,4
Fantasia 'El Paño Fino',Complete Score,93431,7
Fluxus,Complete Score,88925,3
Hop Tango,Score and Parts,366940,15
Impromptu,Complete Score,93440,24
Impromptu,Violín part,93441,6
Jazzy Suite,2. Fantasía,355139,4
Las Cuatro Estaciones,Piano Score and Violín part,93445,50
Las Quejas de Doña Jimena,Violin 1,93433,5
Las Quejas de Doña Jimena,Violin 2,93434,5
Las Quejas de Doña Jimena,Violin 3,93435,5
Las Quejas de Doña Jimena,Viola,93436,4
Las Quejas de Doña Jimena,Cello,93437,5
Las Quejas de Doña Jimena,Bass,93438,4
Las Quejas de Doña Jimena,Complete Score,93432,22
El Lavatorio,Complete Score,355140,29
Mediterranía (Cuarteto de Percusión),Complete Score,93444,32
Microsuite,Complete Score,86999,29
Microsuite,Violins I,87000,11
Microsuite,Violins II,87001,9
Microsuite,Violas,87002,11
Microsuite,Cellos,87003,11
Microsuite,Basses,87004,8
Microsuite,Complete Score,269173,74
Nanas de la cebolla,Complete Score,88926,14
Nocturnos,Score,88480,16
Nocturno,Complete Score,93442,3
Paseo,Complete Score,93443,3
Preludio y Canción,Complete Score,86929,10
Preludio y Fuga sobre la Aurora de Santa Cruz,Complete Score,93439,6
Las Cuatro Estaciones,Complete Score and Parts,131301,50
Retablo Alfonsí,Violins I,93447,24
Retablo Alfonsí,Violins II,93448,24
Retablo Alfonsí,Violas,93449,24
Retablo Alfonsí,Cellos,93450,24
Retablo Alfonsí,Basses,93451,24
Retablo Alfonsí,Complete Score,93446,78
"String Quartet No.1, Op.22",I. Allegro,88476,
"String Quartet No.1, Op.22",II. Lied,88477,
"String Quartet No.1, Op.22",III. Scherzo,88478,
"String Quartet No.1, Op.22",IV. Rondo,88479,
"String Quartet No.1, Op.22",Complete Score,86994,44
"String Quartet No.1, Op.22",Violin 1,86995,14
"String Quartet No.1, Op.22",Violin 2,86996,14
"String Quartet No.1, Op.22",Viola,86997,13
"String Quartet No.1, Op.22",Cello,86998,14
Suite clásica,Complete Score,88491,36
Suite Sacra,Complete Score,88928,112
Suite Sacra,Violins I,88929,25
Suite Sacra,Violins II,88930,44
Suite Sacra,Violas,88931,44
Suite Sacra,Cellos,88932,44
Suite Sacra,Basses,88933,44
Trío Fantasía,Complete score,364706,12
Trío Fantasía,Complete parts,364907,15
Triptico mediterraneo,Piano Score,88481,19
Triptico mediterraneo,Violin Part,88484,5
Triptico mediterraneo,Piano Score,88482,4
Triptico mediterraneo,Violin Part,88485,2
Triptico mediterraneo,Piano Score,88483,15
Triptico mediterraneo,Violin Part,88486,5
"Ya se murió el burro, José Ignacio Prieto J.S.",Complete Score,364716,11
